id,elev,lat,lon
414,1090.08,-117.506093,34.298875
415,1087.16,-117.506039,34.298607
416,1087.7,-117.506107,34.298512
417,1089.31,-117.506363,34.298405
418,1088.84,-117.506375,34.298344
419,1089.11,-117.506535,34.298273
420,1088.99,-117.506626,34.298169
421,1089.13,-117.506672,34.298035
422,1087.91,-117.506535,34.297668
423,1087.91,-117.506592,34.297516
424,1087.19,-117.506874,34.29703
425,1087.21,-117.506941,34.296948
426,1088.19,-117.507064,34.296871
427,1086.92,-117.50697,34.296716
428,1087.19,-117.506985,34.296638
429,1086.37,-117.506861,34.296545
430,1087.01,-117.506907,34.296419
431,1088.04,-117.507046,34.29635
432,1092.14,-117.507548,34.296362
433,1096.54,-117.508121,34.296314
434,1097.68,-117.508287,34.296343
435,1098.91,-117.508555,34.296342
436,1099.59,-117.508755,34.296313
437,1101.22,-117.509174,34.29618
438,1103.48,-117.50948,34.296179
439,1104.81,-117.509647,34.296083
440,1106.26,-117.509853,34.295939
441,1106.97,-117.509935,34.295821
442,1108.37,-117.510209,34.295687
443,1109.84,-117.510486,34.295451
444,1110.27,-117.510449,34.295359
445,1111.16,-117.510368,34.295282
446,1111.11,-117.510123,34.295178
447,1111.09,-117.509913,34.29494
448,1112.14,-117.509935,34.294821
449,1113.95,-117.510028,34.294727
450,1122.77,-117.510438,34.294649
451,1125.18,-117.510569,34.294592
452,1124.09,-117.510636,34.294191
453,1121.19,-117.510443,34.294109
454,1120.25,-117.510148,34.293871
455,1122.2,-117.510174,34.293694
456,1121.93,-117.510012,34.293639
457,1122.48,-117.50992,34.29355
458,1122.8,-117.509766,34.293527
459,1124.12,-117.509727,34.293482
460,1124.62,-117.509668,34.29349
461,1122.81,-117.509356,34.293672
462,1123.31,-117.509237,34.293688
463,1123.88,-117.508897,34.293703
464,1126.09,-117.508643,34.293643
465,1123.76,-117.508323,34.293629
466,1131.53,-117.50809,34.29339
467,1131.14,-117.507719,34.293219
468,1130.9,-117.50752,34.292877
469,1132.62,-117.507621,34.292644
470,1135.84,-117.507754,34.292521
471,1143.14,-117.50795,34.29242
472,1144.26,-117.507981,34.292359
473,1140.85,-117.507834,34.292296
474,1141.98,-117.507785,34.292238
475,1140.71,-117.507573,34.292198
476,1139.31,-117.507394,34.292201
477,1142.14,-117.507291,34.292116
478,1144.01,-117.507056,34.292069
479,1147.8,-117.506688,34.292069
480,1149.13,-117.506519,34.292014
481,1147.79,-117.506407,34.291945
482,1147.06,-117.506365,34.291856
483,1144.87,-117.506379,34.291649
484,1144.26,-117.506435,34.291528
485,1140.17,-117.506878,34.291151
486,1140.26,-117.507,34.291101
487,1142.93,-117.507306,34.291057
488,1150.17,-117.507735,34.291136
489,1150.57,-117.507865,34.291084
490,1152.05,-117.507946,34.291014
491,1161.11,-117.5081,34.291003
