id,elev,lon,lat,dist,dist_total
3880,1502.6,-116.521797,32.98228,429.843888167,59754.025801199
3900,1474.08,-116.525959,32.984607,405.89369606,60159.919497259
3920,1463.97,-116.526582,32.988229,405.89369606,60565.813193319
3940,1476.92,-116.528905,32.992952,506.095807964,61071.909001283
3960,1463.78,-116.53096,32.997174,506.095807964,61578.004809247
3980,1445.54,-116.5346,33.000526,452.701849933,62030.70665918
4000,1438.57,-116.535467,33.004542,320.221111357,62350.927770537
4020,1432.86,-116.53678,33.007209,320.221111356,62671.148881893
4040,1428.1,-116.538171,33.011033,443.570736354,63114.719618247
4060,1343.28,-116.534222,33.013295,156.710743373,63271.43036162
4080,1280.96,-116.532635,33.012838,156.710743373,63428.141104993
4100,1204.01,-116.529242,33.011702,317.856860394,63745.997965387
4120,1194.24,-116.526134,33.012867,317.856860394,64063.854825781
4140,1243.53,-116.522285,33.012095,429.378166981,64493.232992762
4160,1248.89,-116.522087,33.015963,309.305375508,64802.53836827
4180,1264.92,-116.522893,33.018668,298.051942004,65100.590310274
4200,1268.15,-116.521528,33.021097,298.051942004,65398.642252278
4220,1291.01,-116.519067,33.023305,335.906742784,65734.548995062
4240,1266.7,-116.51554,33.023747,333.148156745,66067.697151807
4260,1276.86,-116.518523,33.027392,456.108852717,66523.806004524
4280,1285.25,-116.519415,33.03174,489.362315527,67013.168320051
4300,1241.66,-116.523225,33.035301,392.480542541,67405.648862592
4320,1212.73,-116.522406,33.038772,373.42094005,67779.069802642
4340,1189.36,-116.52373,33.041949,373.42094005,68152.490742692
4360,1139.89,-116.524583,33.046693,448.329547294,68600.820289986
4380,1111.78,-116.523805,33.050682,379.940354564,68980.76064455
4400,1105.65,-116.520835,33.053023,323.677291663,69304.437936213
4420,1089.13,-116.517561,33.05398,291.722124475,69596.160060688
4440,1051.85,-116.514535,33.053328,327.27513028,69923.435190968
4460,1021.9,-116.514408,33.056277,327.27513028,70250.710321248
4480,987.96,-116.512432,33.059141,289.670435407,70540.380756655
4500,971.68,-116.511225,33.061547,289.670435406,70830.051192061
4520,962.22,-116.511493,33.064658,345.933797315,71175.984989376
4540,957.5,-116.507264,33.066929,377.367614395,71553.352603771
4560,963.4,-116.503527,33.068224,349.293572327,71902.646176098
4580,1006.56,-116.500487,33.066389,349.293572327,72251.939748425
4600,999.83,-116.497093,33.065342,254.843655764,72506.783404189
4620,964.55,-116.494618,33.064374,254.843655764,72761.627059953
4640,940.42,-116.491639,33.066338,266.666851384,73028.293911337
4660,910.42,-116.489739,33.068133,266.666851384,73294.960762721
4680,939.92,-116.484845,33.066431,258.867499916,73553.828262637
4700,928.71,-116.48208,33.066598,258.867499916,73812.695762553
4720,938.77,-116.47731,33.067751,463.425314835,74276.121077388
4740,896.73,-116.47224,33.066364,497.811699957,74773.932777345
4760,827.7,-116.466228,33.068463,657.262797362,75431.195574707
4780,771.83,-116.467125,33.074341,657.262797362,76088.458372069
4800,720.15,-116.469393,33.086338,931.055018412,77019.513390481
4820,691.53,-116.468063,33.094658,507.884651202,77527.3980416829
4840,689.23,-116.471856,33.097941,479.266842171,78006.6648838539
4860,730.28,-116.472026,33.10226,238.365750911,78245.0306347649
4880,756.07,-116.474105,33.103508,163.39268338,78408.423318145
4900,764.85,-116.476144,33.103415,190.607667059,78599.0309852039
4920,796.68,-116.472917,33.10459,163.39268338,78762.423668584
4940,843.38,-116.472776,33.106267,186.455004811,78948.878673395
4960,873.52,-116.474622,33.106921,94.797972928,79043.676646323
4980,894.84,-116.475358,33.10751,94.797972928,79138.474619251
5000,915.96,-116.475665,33.110013,279.073722731,79417.548341982
5020,905.6,-116.478273,33.110019,224.080552954,79641.628894936
5040,904.45,-116.480614,33.109571,224.080552954,79865.70944789
5060,923.7,-116.483245,33.111225,309.85967173,80175.56911962
5080,931.79,-116.482105,33.113849,132.034468241,80307.603587861
5100,940.91,-116.483317,33.114463,132.034468241,80439.638056102
5120,934.83,-116.486481,33.114227,337.279117433,80776.917173535
5140,938.3,-116.486234,33.117261,176.134069913,80953.051243448
5160,934.01,-116.485565,33.118746,170.033344983,81123.084588431
5180,940.47,-116.485542,33.120279,170.033344983,81293.117933414
5200,957.22,-116.487855,33.120236,215.916242542,81509.034175956
5220,957.29,-116.486528,33.122241,201.378926294,81710.41310225
5240,963.84,-116.486936,33.124024,201.378926294,81911.792028544
5260,984.76,-116.489717,33.12428,157.524898962,82069.316927506
5280,999.19,-116.489939,33.125688,157.524898962,82226.841826468
5300,992.55,-116.490949,33.127813,253.824906743,82480.666733211
5320,991.11,-116.492989,33.129077,236.415026368,82717.081759579
5340,985.76,-116.49565,33.127026,336.756407458,83053.838167037
5360,1009.36,-116.496034,33.131021,383.477402041,83437.315569078
5380,1008.28,-116.496984,33.134385,237.403648152,83674.71921723
5400,1002.24,-116.495402,33.136146,219.34296244,83894.06217967
5420,994.38,-116.497728,33.136432,237.403648152,84131.465827822
5440,981.71,-116.499976,33.136348,209.965780537,84341.431608359
5460,1001.94,-116.501974,33.138795,285.079735827,84626.511344186
5480,999.76,-116.504383,33.137214,285.079735826,84911.591080012
5500,1012.97,-116.507094,33.138282,279.316012338,85190.90709235
5520,1022.94,-116.507713,33.141197,210.562818955,85401.469911305
5540,1011.78,-116.507596,33.143093,210.562818955,85612.03273026
5560,987.85,-116.50782,33.145121,110.065331167,85722.098061427
5580,993.86,-116.508701,33.145781,110.065331167,85832.163392594
5600,1025.45,-116.509418,33.147012,76.377162358,85908.540554952
5620,1039.71,-116.509012,33.14761,76.377162358,85984.91771731
5640,1076.65,-116.51358,33.148453,258.898529201,86243.816246511
5660,1111.2,-116.516118,33.149397,191.825861774,86435.642108285
5680,1101.29,-116.517579,33.14818,191.825861774,86627.467970059
5700,1101.73,-116.520463,33.148957,232.925347113,86860.393317172
5720,1101.85,-116.522575,33.150077,205.784373398,87066.17769057
