id,elev,lat,lon
748,1027.05,-116.519883,32.623867
749,1028.15,-116.519789,32.623924
750,1028,-116.519491,32.62403
751,1027.44,-116.51942,32.624151
752,1027.13,-116.519559,32.62424
753,1024.57,-116.519734,32.624553
754,1023.24,-116.519737,32.624622
755,1020.7,-116.519986,32.624782
756,1019.2,-116.52023,32.624837
757,1017.29,-116.520513,32.624838
758,1018,-116.520632,32.624868
759,1017.63,-116.520686,32.624984
760,1015.45,-116.520691,32.625199
761,1015.5,-116.520815,32.625251
762,1015.65,-116.521004,32.625405
763,1016.89,-116.521093,32.625621
764,1016.98,-116.521097,32.625749
765,1018.75,-116.521284,32.625843
766,1019.72,-116.521372,32.625956
767,1019.65,-116.521395,32.626198
768,1018.85,-116.521631,32.626354
769,1019.69,-116.521763,32.626309
770,1019.76,-116.52188,32.626158
771,1019.39,-116.521958,32.626105
772,1017.61,-116.522042,32.626105
773,1014.77,-116.522169,32.626036
774,1015.33,-116.522205,32.625944
775,1016.73,-116.522183,32.62574
776,1013.69,-116.522459,32.625431
777,1014.23,-116.522487,32.62542
778,1015.66,-116.522672,32.625551
779,1013.71,-116.522765,32.625776
780,1011.19,-116.522768,32.625946
781,1010.93,-116.522819,32.626101
782,1013.37,-116.523009,32.626272
783,1014.61,-116.523017,32.626337
784,1010.87,-116.522905,32.626547
785,1011.99,-116.522972,32.626696
786,1009.83,-116.523066,32.627118
787,1007.35,-116.523167,32.627266
788,1006.97,-116.523332,32.627344
789,1006.04,-116.523336,32.627455
790,1009.17,-116.523449,32.627689
791,1006.58,-116.523448,32.627851
792,1006.86,-116.523517,32.628074
793,1005.73,-116.523496,32.628144
794,1006.38,-116.523542,32.628178
795,1003.76,-116.523595,32.628301
796,1006.93,-116.523691,32.628375
797,1009.01,-116.523737,32.628375
798,1009.53,-116.523779,32.628593
799,1008.33,-116.523743,32.628642
800,1008.05,-116.523757,32.628687
801,1007.04,-116.524079,32.629004
802,1007.43,-116.524036,32.629201
803,1007.13,-116.523928,32.629251
804,1007.81,-116.523727,32.629501
805,1011.73,-116.523808,32.629659
806,1010.06,-116.523711,32.629753
807,1009.67,-116.52371,32.629825
808,1010.32,-116.523749,32.629858
809,1009.74,-116.523819,32.630062
810,1012.18,-116.524,32.630173
811,1012.03,-116.523995,32.630322
812,1011.28,-116.524041,32.630408
813,1014.28,-116.524237,32.630528
