DBA,BORO,ZIPCODE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE
CHOOPAN KABAB RESTAURANT,4,11355,1,2014-02-25 00:00:00,D,10F,12,A
WOK & ROLL,4,11430,5,2014-02-25 00:00:00,F,10F,28,Z
BEIJING STYLE BARBEQUE,4,11355,20,2014-02-25 00:00:00,D,10F,7,A
BAR RIQUE,3,10023,3,2014-02-25 00:00:00,D,04L,11,A
WOK & ROLL,4,11430,5,2014-02-25 00:00:00,F,02B,28,Z
WOK & ROLL,4,11430,5,2014-02-25 00:00:00,F,10B,28,Z
EAST 12TH OSTERIA,1,10003,48,2014-02-25 00:00:00,D,08C,11,A
EAST 12TH OSTERIA,1,10003,48,2014-02-25 00:00:00,D,10F,11,A
WOK & ROLL,4,11430,5,2014-02-25 00:00:00,F,04L,28,Z
CHIN CHIN PALACE RESTAURANT,5,10303,20,2014-02-25 00:00:00,F,02B,33,Z
CHIN CHIN PALACE RESTAURANT,5,10303,20,2014-02-25 00:00:00,F,04M,33,Z
EAST 12TH OSTERIA,1,10003,48,2014-02-25 00:00:00,D,10H,11,A
CHIN CHIN PALACE RESTAURANT,5,10303,20,2014-02-25 00:00:00,F,02G,33,Z
CHIN CHIN PALACE RESTAURANT,5,10303,20,2014-02-25 00:00:00,F,08A,33,Z
BAGEL MART PLUS,4,11357,7,2014-02-25 00:00:00,D,06D,7,A
ROTI MEDITERRANEAN GRILL,1,10017,54,2014-02-25 00:00:00,D,02B,7,A
TODAY SPORTS LOUNGE,4,11355,5,2014-02-25 00:00:00,U,06A,20,Z
DOUBLE HAPPY KITCHEN,4,11421,20,2014-02-25 00:00:00,D,10D,6,A
JAC MAO CHINESE CUISINE,5,10305,20,2014-02-25 00:00:00,D,10F,11,A
SHAKA BURRITO,1,10010,55,2014-02-25 00:00:00,D,10F,10,A
SHAKA BURRITO,1,10010,55,2014-02-25 00:00:00,D,06B,10,A
BANANA KING,4,11372,53,2014-02-25 00:00:00,U,10D,27,Z
TODAY SPORTS LOUNGE,4,11355,5,2014-02-25 00:00:00,U,04A,20,Z
EAST OCEAN BUFFET,3,11214,20,2014-02-25 00:00:00,U,02B,25,Z
COFI CAFE,2,10470,51,2014-02-25 00:00:00,B,,,A
BANANA KING,4,11372,53,2014-02-25 00:00:00,U,02G,27,Z
BANANA KING,4,11372,53,2014-02-25 00:00:00,U,04A,27,Z
PHOENIX,1,10009,3,2014-02-25 00:00:00,D,10F,10,A
GINGERSNAP'S ORGANIC,1,10009,84,2014-02-25 00:00:00,D,08A,11,A
SODESH RESTAURANT.,2,10467,9,2014-02-25 00:00:00,D,08A,10,A
CANAAN RESTAURANT,4,11356,20,2014-02-25 00:00:00,D,02H,9,A
MURA,3,11215,49,2014-02-25 00:00:00,D,10I,12,A
ROWE'S RESTAURANT,3,11238,17,2014-02-25 00:00:00,D,10F,3,A
MARIO GOURMET DELI,1,10025,27,2014-02-25 00:00:00,D,04L,9,A
BIANG!,4,11355,20,2014-02-25 00:00:00,U,06F,15,Z
BIANG!,4,11355,20,2014-02-25 00:00:00,U,10F,15,Z
LECHONERO POLLO SABROSO,2,10456,77,2014-02-25 00:00:00,D,06D,8,A
ROCOTO,4,11432,61,2014-02-25 00:00:00,D,10F,10,A
Events at Stone Park,3,11215,3,2014-02-25 00:00:00,D,10F,8,A
GOLDEN KRUST,4,11412,17,2014-02-25 00:00:00,D,06D,5,A
ROCOTO,4,11432,61,2014-02-25 00:00:00,D,04H,10,A
PROHIBITION BAKERY,1,10002,8,2014-02-25 00:00:00,D,02G,9,A
TAJADAS BAKERY & RESTAURANT,4,11421,53,2014-02-25 00:00:00,D,06D,5,A
BELLA GIORNATA,5,10301,3,2014-02-25 00:00:00,D,02G,9,A
AVENUE PIZZA II,3,11226,62,2014-02-25 00:00:00,U,10F,21,Z
MCDONALD'S,4,11421,3,2014-02-25 00:00:00,D,04L,10,A
AVENUE PIZZA II,3,11226,62,2014-02-25 00:00:00,U,02B,21,Z
AVENUE PIZZA II,3,11226,62,2014-02-25 00:00:00,U,04A,21,Z
EAST 12TH OSTERIA,1,10003,48,2014-02-25 00:00:00,D,06E,11,A
CUZCO PERU,4,11435,61,2014-02-25 00:00:00,U,04L,19,Z
CUZCO PERU,4,11435,61,2014-02-25 00:00:00,U,06D,19,Z
CHIN CHIN PALACE RESTAURANT,5,10303,20,2014-02-25 00:00:00,F,02H,33,Z
LA GITANA 3 PANADERIA Y RESTAURANTE,4,11421,77,2014-02-25 00:00:00,D,10F,2,A
CUZCO PERU,4,11435,61,2014-02-25 00:00:00,U,08A,19,Z
CUZCO PERU,4,11435,61,2014-02-25 00:00:00,U,10H,19,Z
CHIN CHIN PALACE RESTAURANT,5,10303,20,2014-02-25 00:00:00,F,10B,33,Z
FRESH & CO.,1,10022,70,2014-02-25 00:00:00,O,,,Z
MEXICAN FESTIVAL,1,10025,55,2014-02-25 00:00:00,D,10F,2,A
EAST OCEAN BUFFET,3,11214,20,2014-02-25 00:00:00,U,10F,25,Z
BYUNG CHUN SOON DAE,4,11354,52,2014-02-25 00:00:00,O,10F,3,Z
WIBAR,4,11369,70,2014-02-25 00:00:00,D,06C,5,A
BEST WESTERN PREMIER,1,10018,3,2014-02-25 00:00:00,U,04A,17,Z
BEST WESTERN PREMIER,1,10018,3,2014-02-25 00:00:00,U,06E,17,Z
BEST WESTERN PREMIER,1,10018,3,2014-02-25 00:00:00,U,10B,17,Z
KINGS LONG WONG BAKERY,3,11223,20,2014-02-25 00:00:00,D,10D,13,A
TODAY SPORTS LOUNGE,4,11355,5,2014-02-25 00:00:00,U,06E,20,Z
EAST OCEAN BUFFET,3,11214,20,2014-02-25 00:00:00,U,06D,25,Z
EAST OCEAN BUFFET,3,11214,20,2014-02-25 00:00:00,U,10A,25,Z
